time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,rollout/ep_len_mean,time/iterations,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates
29894,90112,124.66537081999999,9794.0,3,28,80.39,44,2462.2152725219726,0.0001,-0.002183613265515305,0.16430532932281494,775.9284057617188,-0.09232214756775647,0.0007748009,0.2,0.00546875,215
30646,92160,114.00749740000003,9898.0,3,28,79.27,45,1871.0372406005858,0.0001,-0.000611958828085335,0.21909451484680176,1671.5899658203125,-0.10676090726628899,0.0022368317,0.2,0.0140625,220
31366,94208,122.82380967,9898.0,3,28,76.51,46,4167.349475097656,0.0001,-0.001467446333845146,0.017551124095916748,2394.31005859375,-0.09394823585171252,0.0008283125,0.2,0.0095703125,225
32087,96256,127.18300539,9930.0,2,28,77.73,47,1781.2053018569945,0.0001,-0.0009270762689993717,0.3502255082130432,412.0443115234375,-0.09555759467184544,0.00018490406,0.2,0.00185546875,230
32854,98304,143.70133904000005,9778.0,2,28,75.8,48,1797.0388788223268,0.0001,-0.0012880475260317326,0.25676029920578003,1218.04541015625,-0.10620047058910131,0.000802014,0.2,0.00791015625,235
33631,100352,170.09134927000002,9794.0,2,28,78.14,49,1112.9430561065674,0.0001,-0.0004781768366228789,0.38930028676986694,608.7422485351562,-0.11021197575610131,0.00062183273,0.2,0.00341796875,240
34355,102400,147.95019558,9778.0,2,28,77.43,50,1805.079023361206,0.0001,-0.00045901192497694866,0.11610084772109985,711.3514404296875,-0.10698575689457357,0.0013387988,0.2,0.00654296875,245
35085,104448,122.79438204,9898.0,2,28,78.17,51,3630.2187522888185,0.0001,-0.002150727696425747,0.08157616853713989,675.1717529296875,-0.09255943179596215,0.0008509444,0.2,0.00703125,250
35836,106496,93.85454503000001,9794.0,2,28,77.94,52,3027.93835144043,0.0001,-0.0003811208604020067,0.07023745775222778,1257.84814453125,-0.09401278842706233,0.00025456655,0.2,0.00302734375,255
36553,108544,79.72494655,9794.0,2,28,78.19,53,3275.1897987365724,0.0001,-0.0010498604038730263,0.0850367546081543,2036.887451171875,-0.0953789642895572,0.00061607605,0.2,0.0064453125,260
