rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/time_elapsed,custom/current_screen,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
-0.06,1,8.0,41472,-302.0,41269,0,81,0.004575371742248535,0.1458984375,-2.676682952046394,0.23937796687096125,800,-0.019907553517259657,0.0003,0.2,0.18002378940582275,0.014490987
0.0,1,8.0,41984,-302.0,41759,0,82,-31.51849365234375,0.14296875,-2.6730890423059464,0.001047881535032502,810,-0.028720999637153,0.0003,0.2,-0.04847254976630211,0.017842196
0.0,1,8.0,42496,-302.0,42252,0,83,-106.99871063232422,0.10546875,-2.6234600335359572,0.000295151343752309,820,-0.021385003929026425,0.0003,0.2,-0.048361074179410934,0.014076215
0.0,1,8.0,43008,-302.0,42736,0,84,-107.37240600585938,0.1916015625,-2.577051764726639,5.63677060755996e-05,830,-0.014015923571423627,0.0003,0.2,-0.033758580684661865,0.01757088
-0.03,1,8.0,43520,-302.0,43218,0,85,-79.51782989501953,0.0419921875,-2.603982052206993,2.353902199203617e-05,840,-0.018430715281283483,0.0003,0.2,-0.029426785185933113,0.008504445
-0.18,1,8.0,44032,-158.0,43694,0,86,0.0005552768707275391,0.062890625,-2.554860922694206,0.062394887082680574,850,-0.01604071613983251,0.0003,0.2,0.007446996867656708,0.010511804
0.0,1,8.0,44544,-302.0,44171,0,87,-0.012242436408996582,0.1587890625,-2.6164954990148543,0.8909932197158923,860,-0.012714196812885348,0.0003,0.2,2.333448886871338,0.015874296
0.0,1,8.0,45056,-302.0,44660,0,88,-33.92832565307617,0.2287109375,-2.679406616091728,0.0006526144486088015,870,-0.046808236965443936,0.0003,0.2,-0.06982209533452988,0.021333516
-0.09,1,8.0,45568,-302.0,45152,0,89,-7.894011497497559,0.1353515625,-2.6957144290208817,1.0020520100084696e-05,880,-0.028365843323990704,0.0003,0.2,-0.042807575315237045,0.012374394
-0.09,1,8.0,46080,-302.0,45650,0,90,4.7266483306884766e-05,0.151171875,-2.7385716170072554,0.6306359982059803,890,-0.013116113794967531,0.0003,0.2,0.5555588603019714,0.012921689
0.0,1,8.0,46592,-302.0,46145,0,91,-42.318023681640625,0.1365234375,-2.77135154902935,0.0007120037890217645,900,-0.026250882097519933,0.0003,0.2,-0.05536593869328499,0.015552765
-0.15,1,8.0,47104,-302.0,46651,0,92,-13.762287139892578,0.1298828125,-2.7719570487737655,8.910524893224193e-06,910,-0.029436212591826917,0.0003,0.2,-0.04748276248574257,0.014970505
-0.03,1,8.0,47616,-158.0,47160,0,93,1.811981201171875e-05,0.0951171875,-2.8063233703374864,0.7921443393837763,920,-0.019509531452786177,0.0003,0.2,0.2788463532924652,0.01363827
-0.03,1,8.0,48128,-302.0,47670,0,94,-0.09688425064086914,0.14453125,-2.800718089938164,0.09592610779218376,930,-0.017101103026652707,0.0003,0.2,-0.023055871948599815,0.012888476
0.0,1,8.0,48640,-158.0,48173,0,95,-61.00772476196289,0.187109375,-2.7760976344347,0.0001160410933152889,940,-0.03632438419153914,0.0003,0.2,-0.07448077201843262,0.019157376
0.0,1,8.0,49152,-302.0,48690,0,96,-22.775279998779297,0.1578125,-2.709677043557167,1.193511714125961e-06,950,-0.028639649541582914,0.0003,0.2,-0.04226896911859512,0.014496994
-0.18,1,8.0,49664,-302.0,49203,0,97,-95.34546661376953,0.0916015625,-2.6728136092424393,0.000154281571950321,960,-0.019877862272551283,0.0003,0.2,-0.032733626663684845,0.009059228
-0.15,1,8.0,50176,-302.0,49717,0,98,-0.00019359588623046875,0.11640625,-2.6524260371923445,0.6965002826502313,970,-0.02059502944466658,0.0003,0.2,0.42436331510543823,0.010943653
-0.09,1,8.0,50688,-302.0,50226,0,99,-0.08746886253356934,0.076171875,-2.5929978042840958,0.27303253377322106,980,-0.018837455473840237,0.0003,0.2,0.04266732931137085,0.010055896
0.0,1,8.0,51200,-302.0,50731,0,100,-9.453035354614258,0.1072265625,-2.5847064197063445,0.0006810453847720055,990,-0.025475345365703107,0.0003,0.2,-0.046302132308483124,0.01744932
0.0,1,8.0,51712,-302.0,51241,0,101,-6.966265678405762,0.1505859375,-2.581927990913391,2.1871977489240634e-05,1000,-0.027264801820274444,0.0003,0.2,-0.031622570008039474,0.012501294
0.0,1,8.0,52224,-302.0,51745,0,102,-88.46688079833984,0.0595703125,-2.601968693733215,7.914825662957981e-06,1010,-0.025704782499815337,0.0003,0.2,-0.05673081800341606,0.009587479
