time/time_elapsed,time/iterations,custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
15650,104,650.0,10.7,154.41534326,2,0,13312,0.0005371417,7930.77490234375,0.0,515,0.0001,-0.4987675786018372,0.00018972158432006836,0.2,15434.34267578125,-0.004238550458103419
15805,105,442.0,10.4,145.36648855999996,2,0,13440,0.002970098,8122.7080078125,0.0046875,520,0.0001,-0.5066606134176255,0.02456068992614746,0.2,15917.3021484375,-0.0021762344986200333
15972,106,442.0,10.38,152.44250802999997,2,0,13568,0.0067207622,8190.4521484375,0.03125,525,0.0001,-0.5204671353101731,0.019265413284301758,0.2,16170.35166015625,-0.012246096227318048
16132,107,442.0,10.19,159.79198664999996,2,0,13696,0.0016984623,8655.1953125,0.00625,530,0.0001,-0.4267473012208939,-0.00420379638671875,0.2,17702.5966796875,-0.0005621584132313728
16285,108,626.0,9.93,160.16533584999996,2,0,13824,0.0016468656,8943.505859375,0.0078125,535,0.0001,-0.4309146136045456,-0.010445594787597656,0.2,18190.2181640625,-0.00607168679125607
16444,109,538.0,9.71,162.65868937999997,2,0,13952,0.00066180015,8490.0263671875,0.0046875,540,0.0001,-0.41564172208309175,-0.005941510200500488,0.2,16882.96171875,-0.0030967575497925282
16602,110,442.0,9.64,177.29858835999997,2,0,14080,0.000261778,8849.7890625,0.0,545,0.0001,-0.4593355059623718,0.026613295078277588,0.2,18134.84609375,-0.0018158484250307082
16763,111,442.0,9.81,184.2915468,2,0,14208,6.523961e-05,8802.3427734375,0.0,550,0.0001,-0.4292455792427063,0.061772167682647705,0.2,17188.73818359375,-0.0011714644730091094
16925,112,650.0,9.4,191.68995894000003,2,0,14336,2.3563392e-05,8643.0927734375,0.0,555,0.0001,-0.4068059384822845,-0.011364340782165527,0.2,17769.3958984375,9.043887257575988e-06
17082,113,538.0,9.65,191.99079111999998,2,0,14464,0.0011583529,8393.9677734375,0.00625,560,0.0001,-0.4143753618001938,-0.0013180971145629883,0.2,16991.788671875,-0.009449952188879252
17241,114,538.0,9.68,185.59547843000001,2,0,14592,0.00039941538,6705.4501953125,0.0,565,0.0001,-0.4063490808010101,0.030319690704345703,0.2,13915.2958984375,-0.0029046516865491867
17404,115,442.0,9.6,182.34633312999998,2,0,14720,0.0008922033,7930.6318359375,0.003125,570,0.0001,-0.4119339793920517,0.03491330146789551,0.2,15921.93662109375,-0.003601157572120428
17570,116,522.0,9.67,192.39943011,2,0,14848,0.00051085977,9378.0595703125,0.0015625,575,0.0001,-0.3957807898521423,-0.0018042325973510742,0.2,18833.3962890625,-0.004810820426791906
17735,117,538.0,9.75,196.08427859,2,0,14976,0.000262836,8026.73486328125,0.0,580,0.0001,-0.4223586231470108,-0.017845988273620605,0.2,16407.87646484375,-0.0017136773094534874
17897,118,442.0,9.64,196.18005087,2,0,15104,6.1665196e-05,8999.6875,0.0,585,0.0001,-0.40995522141456603,-0.00843667984008789,0.2,17528.5330078125,-0.000919456034898758
18052,119,626.0,9.61,192.84510525999997,2,0,15232,0.00013016444,8889.95703125,0.0,590,0.0001,-0.3875579833984375,-0.006583809852600098,0.2,18066.8259765625,-0.0025762074626982214
18210,120,538.0,9.73,206.3026425,2,0,15360,0.00088307355,8133.24755859375,0.0046875,595,0.0001,-0.37495935559272764,-0.0025163888931274414,0.2,16695.8802734375,-0.0008419731631875039
18374,121,442.0,9.93,212.42066198000003,2,0,15488,4.1389838e-05,8076.3486328125,0.0,600,0.0001,-0.37233211398124694,0.018086910247802734,0.2,16995.4951171875,-2.9920600354671478e-05
18534,122,442.0,9.92,215.03497511999998,2,0,15616,6.570667e-05,7661.79638671875,0.0,605,0.0001,-0.4361427754163742,0.07775682210922241,0.2,15717.4662109375,-0.001463568303734064
18691,123,442.0,9.9,211.33569734000005,2,0,15744,0.00031057373,8004.533203125,0.0,610,0.0001,-0.4195973753929138,-0.004525899887084961,0.2,16229.31923828125,-0.005045642610639334
18850,124,650.0,9.83,204.97796472000002,2,0,15872,0.0010957764,8845.2490234375,0.003125,615,0.0001,-0.40225572884082794,0.009128153324127197,0.2,18248.146484375,-0.005639017000794411
19014,125,650.0,9.72,201.94581942000002,2,0,16000,0.00034736888,8001.7294921875,0.0,620,0.0001,-0.3981112241744995,0.015153825283050537,0.2,16513.28134765625,-0.002136041782796383
19176,126,538.0,9.83,200.75101756,2,0,16128,0.00044086808,8452.974609375,0.0,625,0.0001,-0.39358084797859194,0.00012099742889404297,0.2,16778.3673828125,-0.002742867171764374
19335,127,650.0,9.75,197.44478668999997,2,0,16256,0.00029681996,7326.06884765625,0.0015625,630,0.0001,-0.36512217819690707,0.08097416162490845,0.2,14982.327734375,-0.002615979127585888
19496,128,442.0,9.44,190.92852793999998,2,0,16384,0.0057358076,8070.40478515625,0.0125,635,0.0001,-0.3367526978254318,-0.003678441047668457,0.2,16097.31220703125,-0.01055231811478734
19656,129,490.0,9.55,194.68241018,2,0,16512,4.5489054e-05,8045.939453125,0.0,640,0.0001,-0.3470362812280655,-0.002228260040283203,0.2,16254.78671875,-0.0012234175577759744
19819,130,650.0,9.64,188.67246574,2,0,16640,0.00071435794,7603.4521484375,0.003125,645,0.0001,-0.3964993268251419,0.05144089460372925,0.2,15622.637890625,-0.004283325560390949
19982,131,650.0,9.61,195.30655665000003,2,0,16768,0.0009495998,7169.25244140625,0.003125,650,0.0001,-0.40077758133411406,-0.0017638206481933594,0.2,14249.4443359375,-0.004698861390352249
20137,132,490.0,9.66,192.12294554,2,0,16896,0.00016011251,8899.978515625,0.0,655,0.0001,-0.3719057083129883,-0.0015624761581420898,0.2,17007.8923828125,-0.00013657668605446816
20304,133,442.0,9.95,194.86659879,2,0,17024,0.00037897192,7455.02392578125,0.0,660,0.0001,-0.3657344102859497,0.007854580879211426,0.2,14844.30703125,-0.0048147238790988926
20464,134,490.0,9.88,196.00316444000003,2,0,17152,0.00068905903,7447.1728515625,0.0,665,0.0001,-0.36756515204906465,0.01340341567993164,0.2,14973.30166015625,-0.003889236133545637
20625,135,626.0,9.82,199.80343181999996,2,0,17280,0.0009908248,8139.5205078125,0.003125,670,0.0001,-0.329693341255188,-0.0030707120895385742,0.2,16860.93447265625,-0.005035627540200949
20788,136,490.0,9.99,199.87836183999997,2,0,17408,0.0004291404,8204.4013671875,0.003125,675,0.0001,-0.3239779889583588,-0.0032558441162109375,0.2,16449.0357421875,-0.005121085373684764
20952,137,650.0,10.04,196.98100340999997,2,0,17536,0.0016323137,5751.17236328125,0.0078125,680,0.0001,-0.3694573402404785,0.06413382291793823,0.2,11864.1025390625,-0.004208179563283921
21114,138,538.0,9.97,203.15633557,2,0,17664,0.00020093843,5949.69384765625,0.0,685,0.0001,-0.3568834125995636,0.01516181230545044,0.2,12140.1443359375,-0.0007651504129171371
21271,139,650.0,10.07,190.40572329999998,2,0,17792,0.00055923127,7810.60302734375,0.003125,690,0.0001,-0.32170321643352506,-0.0037370920181274414,0.2,15792.66181640625,-0.00382534209638834
