time/iterations,time/fps,custom/current_screen,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/approx_kl
57,1,37,13.13,13258.0,371.2905443100001,25520,29184,-0.4763281573267544,-0.0028271266423604067,47112.867647058825,267,0.011029411764705883,0.2,0.0001,-6.9141387939453125e-06,22614.078125,0.030666046
58,1,37,13.4,13202.0,419.77844795,25932,29696,-0.47392873615026476,-0.00786620595608838,53524.74716796875,272,0.0328125,0.2,0.0001,-1.2516975402832031e-05,26578.283203125,0.007255788
59,1,37,13.52,13058.0,398.04172625000007,26361,30208,-0.48352266401052474,-0.007673686719499528,50353.18837890625,277,0.037109375,0.2,0.0001,-1.0967254638671875e-05,24911.849609375,0.006180576
60,1,37,13.06,13282.0,331.15188860999996,26804,30720,-0.48103134018002136,-0.008850393929716312,49078.32859848485,282,0.026041666666666668,0.2,0.0001,-5.841255187988281e-06,24306.2734375,0.035208598
61,1,37,14.13,13026.0,352.9662941999999,27197,31232,-0.47135826870799064,-0.00812851598020643,46496.96376953125,287,0.033984375,0.2,0.0001,7.474422454833984e-05,23766.5,0.0058193607
62,1,37,13.94,13202.0,350.44893050999997,27637,31744,-0.4583686113357544,-0.01314627267420292,40561.19086914063,292,0.05625,0.2,0.0001,-1.9669532775878906e-05,18476.005859375,0.012730274
63,1,37,13.83,13058.0,406.61339875,28065,32256,-0.4777184374630451,-0.009599603665992617,46105.02197265625,297,0.065234375,0.2,0.0001,-6.9141387939453125e-06,22011.9765625,0.009257793
64,1,37,12.81,13282.0,409.54525353000014,28510,32768,-0.46235729604959486,-0.006654211331624538,52885.10673828125,302,0.028125,0.2,0.0001,-3.635883331298828e-05,24289.931640625,0.004990089
65,1,37,13.03,13026.0,414.49097165000006,28938,33280,-0.4750002108514309,-0.0010964876739308238,55057.00146484375,307,0.006640625,0.2,0.0001,-9.059906005859375e-06,27681.833984375,0.0012099062
66,1,37,12.69,13202.0,364.33249081,29378,33792,-0.4942187212407589,-0.0070052528579253705,58659.52421875,312,0.03515625,0.2,0.0001,-3.0994415283203125e-06,35340.0234375,0.005105336
67,1,37,12.65,13282.0,360.57439721,29821,34304,-0.48801069259643554,-0.011916958331130444,50514.06416015625,317,0.05,0.2,0.0001,4.857778549194336e-05,27012.751953125,0.009181054
68,1,37,11.99,13258.0,355.19804642,30283,34816,-0.4627687901258469,-0.011588334012776614,54401.87626953125,322,0.034375,0.2,0.0001,-6.198883056640625e-06,28517.04296875,0.003904011
69,1,37,12.65,13058.0,395.22930877,30702,35328,-0.4938348799943924,-0.010023270314559341,49113.77470703125,327,0.0546875,0.2,0.0001,-9.894371032714844e-06,24355.51171875,0.006960995
70,1,37,12.59,13282.0,358.31720552,31164,35840,-0.4739969253540039,-0.008856258168816567,51489.38037109375,332,0.029296875,0.2,0.0001,0.00018602609634399414,25622.30078125,0.004513002
71,1,37,12.07,13202.0,305.00725499999993,31643,36352,-0.481119979172945,0.009492157803227505,48703.159342447914,335,0.059244791666666664,0.2,0.0001,2.0205974578857422e-05,25414.59765625,0.029262101
72,1,37,11.48,13058.0,290.14004057999995,32125,36864,-0.4896833673119545,-0.006815566681325436,45749.86376953125,340,0.083203125,0.2,0.0001,-4.5299530029296875e-06,23411.095703125,0.0068071065
73,1,37,11.2,13258.0,322.47656452,32601,37376,-0.4961493596434593,-0.014805732248350977,48684.38876953125,345,0.06640625,0.2,0.0001,0.00011938810348510742,22865.474609375,0.009762255
74,1,37,11.66,13058.0,377.49709280999997,33060,37888,-0.48719230517745016,-0.011401173076592386,52399.1861328125,350,0.06640625,0.2,0.0001,-7.271766662597656e-06,25311.287109375,0.012021368
75,1,37,12.09,13058.0,353.86305657,33515,38400,-0.4943882793188095,-0.00901306060841307,47577.1837890625,355,0.050390625,0.2,0.0001,-9.179115295410156e-06,25619.958984375,0.006820651
76,1,37,11.66,13058.0,364.71085596999995,33994,38912,-0.5074918754398823,-0.016555020958185195,45905.33916015625,360,0.0609375,0.2,0.0001,1.2516975402832031e-06,20060.8359375,0.008110454
77,1,37,11.35,13202.0,371.97715782,34446,39424,-0.4812482543289661,-0.009812474623322487,51925.28447265625,365,0.0390625,0.2,0.0001,-1.9073486328125e-06,24836.759765625,0.004419143
78,1,37,11.68,13058.0,362.99955406000004,34935,39936,-0.45570260658860207,-0.014177108742296695,47056.575390625,370,0.0546875,0.2,0.0001,-4.5299530029296875e-06,25912.392578125,0.011990263
79,1,37,12.2,13282.0,353.79603693999996,35397,40448,-0.47741467008988064,-0.0028978008776903152,46847.821940104164,372,0.046875,0.2,0.0001,-3.814697265625e-06,21951.404296875,0.02295496
80,1,37,13.09,13058.0,378.36580613,35839,40960,-0.4472320020198822,-0.009541064803488552,45577.96728515625,377,0.0625,0.2,0.0001,1.6927719116210938e-05,18086.98828125,0.007763938
81,1,37,12.46,13058.0,381.0687289700001,36295,41472,-0.45400815960523244,-0.014664758915534697,44882.42451435811,382,0.07516891891891891,0.2,0.0001,-4.172325134277344e-06,23747.662109375,0.022866134
82,1,37,12.11,13202.0,373.67127368,37117,41984,-0.4451549768447876,-0.0067003695177845655,48849.71005859375,387,0.03046875,0.2,0.0001,-6.556510925292969e-06,22470.76953125,0.008063057
83,1,37,12.29,13282.0,385.60571702999994,37569,42496,-0.5094834075254553,-0.008122005801209631,58135.807100183825,392,0.08823529411764706,0.2,0.0001,6.854534149169922e-06,25277.55859375,0.029294303
84,1,37,11.79,13026.0,364.02309732000003,38056,43008,-0.43687952203410013,0.0024943947792053223,46763.69224330357,394,0.026785714285714284,0.2,0.0001,-7.3909759521484375e-06,23974.80078125,0.009880929
85,1,37,11.4,13202.0,360.51918317999997,38525,43520,-0.44932509027421474,-0.004598035477101803,43703.88916015625,396,0.0361328125,0.2,0.0001,3.737211227416992e-05,21174.03515625,0.016013062
86,1,37,10.94,13026.0,378.37255115999994,39004,44032,-0.3992960721254349,-0.013151237566489726,51926.5962890625,401,0.0609375,0.2,0.0001,-4.6372413635253906e-05,23492.65234375,0.009800824
