custom/current_screen,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,custom/max_height,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
0,5.14,30208,1,59,24811,-158.0,-1.1470000000000002,0.119140625,0.26658064126968384,580,-2.1863761216402056,0.2,0.0140903685,279.24417552948,-0.025076347490539774,111.87628173828125,0.0003
0,4.79,30720,1,60,25242,-158.0,-0.7274999999999997,0.0369140625,0.3228914141654968,590,-2.191068035364151,0.2,0.0074256854,223.48783264160156,-0.01191443899879232,112.12224578857422,0.0003
0,4.9,31232,1,61,25651,-302.0,-1.0429999999999993,0.0609375,0.26935821771621704,600,-2.2518709361553193,0.2,0.010770682,272.06306552886963,-0.018111753498669714,132.99913024902344,0.0003
0,4.85,31744,1,62,26073,-302.0,-1.2200000000000002,0.0767578125,0.20602667331695557,610,-2.2567790746688843,0.2,0.009503222,298.4632656097412,-0.018929572869092227,161.2305145263672,0.0003
0,4.76,32256,1,63,26501,-158.0,-0.3889999999999999,0.102734375,0.23850804567337036,620,-2.2146074801683424,0.2,0.010575639,288.83133487701417,-0.023798548593185843,150.81295776367188,0.0003
0,4.73,32768,1,64,26928,-14.0,-0.6144999999999999,0.058984375,0.16607850790023804,630,-2.2588043570518495,0.2,0.009725391,320.1608257293701,-0.01618689243332483,170.6529998779297,0.0003
0,4.86,33280,1,65,27347,-158.0,-0.43200000000000016,0.0947265625,0.2586827278137207,640,-2.2225230813026426,0.2,0.01224245,302.32208080291747,-0.023753637104528026,143.34556579589844,0.0003
0,4.73,33792,1,66,27768,-158.0,-0.3819999999999999,0.0578125,0.14226490259170532,650,-2.230540671944618,0.2,0.01094464,368.07782039642336,-0.024490644296747632,227.94830322265625,0.0003
0,4.78,34304,1,67,28183,-302.0,0.14400000000000013,0.06796875,0.23777973651885986,660,-2.2178254991769792,0.2,0.009856901,346.54424686431884,-0.022132296662312,175.85000610351562,0.0003
0,4.88,34816,1,68,28604,-158.0,-0.9499999999999993,0.0658203125,0.2939532399177551,670,-2.3110012859106064,0.2,0.008414307,304.44436683654783,-0.019363807735498995,139.17860412597656,0.0003
0,4.75,35328,1,69,29017,-158.0,-0.5220000000000004,0.0609375,0.31063371896743774,680,-2.2484433114528657,0.2,0.010634432,258.09689102172854,-0.021850389055907728,108.35194396972656,0.0003
0,4.56,35840,1,70,29449,-302.0,-0.9754999999999997,0.077734375,0.21855419874191284,690,-2.2330004245042803,0.2,0.010301301,316.9744981765747,-0.023594287724699826,174.1337127685547,0.0003
0,4.8,36352,1,71,29871,-158.0,-0.34949999999999987,0.1037109375,0.2773759961128235,700,-2.2252007156610487,0.2,0.011366836,376.8791305541992,-0.025832676771096887,150.9255828857422,0.0003
0,4.84,36864,1,72,30294,-158.0,-0.5545,0.059765625,0.16998666524887085,710,-2.2114705383777618,0.2,0.009187389,297.4146900177002,-0.019033174985088407,129.63262939453125,0.0003
0,4.61,37376,1,73,30710,-158.0,-0.29700000000000026,0.109765625,0.26067525148391724,720,-2.1971144556999205,0.2,0.012369402,275.4864562988281,-0.023030345170991496,151.1880645751953,0.0003
0,4.71,37888,1,74,31119,-158.0,-0.9824999999999998,0.063671875,0.22903287410736084,730,-2.204884406924248,0.2,0.010480864,304.12001514434814,-0.021853518491843714,127.88504028320312,0.0003
0,4.66,38400,1,75,31529,-158.0,-0.5444999999999999,0.0966796875,0.22596979141235352,740,-2.1856181979179383,0.2,0.009771362,234.80919780731202,-0.023151085164863618,86.48546600341797,0.0003
0,4.57,38912,1,76,31945,-158.0,-0.7755000000000001,0.11328125,0.27058976888656616,750,-2.189976233243942,0.2,0.011573454,256.9250238418579,-0.02750399453798309,87.82013702392578,0.0003
0,4.78,39424,1,77,32339,-14.0,-0.49949999999999933,0.0869140625,0.2531280517578125,760,-2.1942356407642363,0.2,0.0118504,321.9382314682007,-0.023095249163452534,158.82443237304688,0.0003
0,4.64,39936,1,78,32732,-14.0,-0.19250000000000012,0.1193359375,0.234380841255188,770,-2.2244240999221803,0.2,0.0137637695,329.5183078765869,-0.025368735333904623,223.4445343017578,0.0003
0,4.99,40448,1,79,33140,-158.0,-1.138,0.0734375,0.18619120121002197,780,-2.2289419919252396,0.2,0.011365116,401.1767288208008,-0.021426367852836848,282.576416015625,0.0003
0,4.67,40960,1,80,33557,-302.0,-0.515,0.1162109375,0.2848028540611267,790,-2.1646912664175035,0.2,0.011571498,279.0544385910034,-0.023041577276308088,152.84164428710938,0.0003
0,4.55,41472,1,81,33962,-158.0,0.33849999999999986,0.0830078125,0.15798401832580566,800,-2.1900659441947936,0.2,0.010162892,348.5542879104614,-0.01929142533335835,216.5335693359375,0.0003
0,4.88,41984,1,82,34363,-14.0,-0.34,0.0654296875,0.17663151025772095,810,-2.1970999479293822,0.2,0.010246719,326.7837059020996,-0.023921234626322986,144.17245483398438,0.0003
0,4.84,42496,1,83,34756,-14.0,0.12100000000000016,0.0990234375,0.1698487401008606,820,-2.1759165078401566,0.2,0.013398061,261.6801277160645,-0.023165844404138623,109.07471466064453,0.0003
0,4.69,43008,1,84,35154,-158.0,-0.44999999999999984,0.052734375,0.17765629291534424,830,-2.1591498285531996,0.2,0.008375565,370.4589817047119,-0.01720232891384512,170.33909606933594,0.0003
0,4.85,43520,1,85,35556,-14.0,-0.043999999999999734,0.0951171875,0.28617483377456665,840,-2.1498297482728956,0.2,0.011301243,292.6179864883423,-0.024901001632679255,115.7201919555664,0.0003
0,4.64,44032,1,86,35974,-158.0,-0.27999999999999997,0.1095703125,0.3024899959564209,850,-2.148493579030037,0.2,0.012337847,313.4977388381958,-0.02248414875357412,134.35108947753906,0.0003
0,5.18,44544,1,87,36366,-158.0,-0.5395,0.08671875,0.1818062663078308,860,-2.109031844139099,0.2,0.01083657,355.20725898742677,-0.022190727095585318,212.25840759277344,0.0003
0,5.05,45056,1,88,36768,-158.0,-0.7824999999999999,0.133984375,0.2745005488395691,870,-2.1673783898353576,0.2,0.01182657,239.89688377380372,-0.02711884102318436,105.19861602783203,0.0003
0,4.92,45568,1,89,37179,-302.0,-0.21949999999999992,0.140234375,0.1974692940711975,880,-2.133563795685768,0.2,0.013485042,252.19152126312255,-0.02514525307051372,102.5756607055664,0.0003
0,5.2,46080,1,90,37578,-158.0,-1.2879999999999998,0.1052734375,0.19489383697509766,890,-2.1034950494766234,0.2,0.010679262,307.4485717773438,-0.026814152777660638,115.86902618408203,0.0003
1,4.81,46592,1,91,37981,186.0,0.34049999999999997,0.07734375,0.34604376554489136,900,-2.100790873169899,0.2,0.009212094,204.48737506866456,-0.022385801561176775,110.39570617675781,0.0003
0,4.75,47104,1,92,38368,-158.0,0.21100000000000013,0.1201171875,0.17135828733444214,910,-2.086085683107376,0.2,0.013636397,374.9169380187988,-0.02764365739421919,158.16342163085938,0.0003
0,4.73,47616,1,93,38764,-158.0,0.07800000000000057,0.1251953125,0.2180202603340149,920,-2.0731189504265783,0.2,0.012589185,335.89756202697754,-0.032666050700936464,164.820068359375,0.0003
0,4.82,48128,1,94,39163,-158.0,-0.5725000000000001,0.0962890625,0.2640233039855957,930,-2.082479590177536,0.2,0.012877159,351.6858562469482,-0.025700106436852367,151.8234405517578,0.0003
0,4.55,48640,1,95,39554,-302.0,0.15250000000000025,0.0783203125,0.16986918449401855,940,-2.0417171105742455,0.2,0.010541711,270.06190795898436,-0.02034760945243761,161.5340118408203,0.0003
0,4.86,49152,1,96,39957,-158.0,-0.23949999999999985,0.05625,0.196957528591156,950,-2.1301733553409576,0.2,0.009777384,381.5825839996338,-0.024374793667811902,160.27993774414062,0.0003
1,4.96,49664,1,97,40343,90.0,-0.2929999999999997,0.1203125,0.20348626375198364,960,-1.999563592672348,0.2,0.012085447,264.33347244262694,-0.023939562030136585,103.70040893554688,0.0003
0,4.87,50176,1,98,40732,-302.0,-0.38249999999999984,0.092578125,0.23036974668502808,970,-2.0532264709472656,0.2,0.010940418,269.7694946289063,-0.02461695360252634,108.66631317138672,0.0003
