Start session - 5/17/2026 6:19PM
241.50,-299.81,304.50,-302.00,8,0.1333;241.50,-299.81|245.00,-297.89|248.50,-296.21|252.00,-294.80|255.50,-293.64|259.00,-292.74|262.50,-292.10|266.00,-291.71|269.50,-291.59|273.00,-291.71|276.50,-292.10|280.00,-292.74|283.50,-293.64|287.00,-294.80|290.50,-296.21|294.00,-297.89|297.50,-299.81|301.00,-302.00
212.00,-299.09,292.50,-302.00,11,0.1833;212.00,-299.09|215.50,-296.43|219.00,-294.03|222.50,-291.89|226.00,-290.00|229.50,-288.37|233.00,-287.00|236.50,-285.89|240.00,-285.03|243.50,-284.43|247.00,-284.09|250.50,-284.00|254.00,-284.17|257.50,-284.60|261.00,-285.29|264.50,-286.23|268.00,-287.43|271.50,-288.89|275.00,-290.60|278.50,-292.57|282.00,-294.80|285.50,-297.29|289.00,-300.03
174.50,-299.33,251.50,-302.00,10,0.1667;174.50,-299.33|178.00,-296.91|181.50,-294.76|185.00,-292.86|188.50,-291.21|192.00,-289.83|195.50,-288.70|199.00,-287.83|202.50,-287.21|206.00,-286.86|209.50,-286.76|213.00,-286.91|216.50,-287.33|220.00,-288.00|223.50,-288.93|227.00,-290.11|230.50,-291.56|234.00,-293.26|237.50,-295.21|241.00,-297.43|244.50,-299.90|248.00,-302.63
165.00,-298.84,252.50,-302.00,12,0.2000;165.00,-298.84|168.50,-295.94|172.00,-293.30|175.50,-290.91|179.00,-288.79|182.50,-286.91|186.00,-285.30|189.50,-283.94|193.00,-282.84|196.50,-282.00|200.00,-281.41|203.50,-281.09|207.00,-281.01|210.50,-281.20|214.00,-281.64|217.50,-282.34|221.00,-283.30|224.50,-284.51|228.00,-285.99|231.50,-287.71|235.00,-289.70|238.50,-291.94|242.00,-294.44|245.50,-297.20|249.00,-300.21
152.50,-298.36,254.00,-302.00,14,0.2333;152.50,-298.36|156.00,-294.97|159.50,-291.84|163.00,-288.97|166.50,-286.36|170.00,-284.00|173.50,-281.90|177.00,-280.06|180.50,-278.47|184.00,-277.14|187.50,-276.07|191.00,-275.26|194.50,-274.70|198.00,-274.40|201.50,-274.36|205.00,-274.57|208.50,-275.04|212.00,-275.77|215.50,-276.76|219.00,-278.00|222.50,-279.50|226.00,-281.26|229.50,-283.27|233.00,-285.54|236.50,-288.07|240.00,-290.86|243.50,-293.90|247.00,-297.20|250.50,-300.76
149.50,-298.36,251.00,-302.00,14,0.2333;149.50,-298.36|153.00,-294.97|156.50,-291.84|160.00,-288.97|163.50,-286.36|167.00,-284.00|170.50,-281.90|174.00,-280.06|177.50,-278.47|181.00,-277.14|184.50,-276.07|188.00,-275.26|191.50,-274.70|195.00,-274.40|198.50,-274.36|202.00,-274.57|205.50,-275.04|209.00,-275.77|212.50,-276.76|216.00,-278.00|219.50,-279.50|223.00,-281.26|226.50,-283.27|230.00,-285.54|233.50,-288.07|237.00,-290.86|240.50,-293.90|244.00,-297.20|247.50,-300.76
146.50,-298.60,241.00,-302.00,13,0.2167;146.50,-298.60|150.00,-295.46|153.50,-292.57|157.00,-289.94|160.50,-287.57|164.00,-285.46|167.50,-283.60|171.00,-282.00|174.50,-280.66|178.00,-279.57|181.50,-278.74|185.00,-278.17|188.50,-277.86|192.00,-277.80|195.50,-278.00|199.00,-278.46|202.50,-279.17|206.00,-280.14|209.50,-281.37|213.00,-282.86|216.50,-284.60|220.00,-286.60|223.50,-288.86|227.00,-291.37|230.50,-294.14|234.00,-297.17|237.50,-300.46
141.00,-297.87,256.50,-302.00,16,0.2667;141.00,-297.87|144.50,-294.00|148.00,-290.39|151.50,-287.03|155.00,-283.93|158.50,-281.09|162.00,-278.50|165.50,-276.17|169.00,-274.10|172.50,-272.29|176.00,-270.73|179.50,-269.43|183.00,-268.39|186.50,-267.60|190.00,-267.07|193.50,-266.80|197.00,-266.79|200.50,-267.03|204.00,-267.53|207.50,-268.29|211.00,-269.30|214.50,-270.57|218.00,-272.10|221.50,-273.89|225.00,-275.93|228.50,-278.23|232.00,-280.79|235.50,-283.60|239.00,-286.67|242.50,-290.00|246.00,-293.59|249.50,-297.43|253.00,-301.53
161.00,-298.11,269.50,-302.00,15,0.2500;161.00,-298.11|164.50,-294.49|168.00,-291.11|171.50,-288.00|175.00,-285.14|178.50,-282.54|182.00,-280.20|185.50,-278.11|189.00,-276.29|192.50,-274.71|196.00,-273.40|199.50,-272.34|203.00,-271.54|206.50,-271.00|210.00,-270.71|213.50,-270.69|217.00,-270.91|220.50,-271.40|224.00,-272.14|227.50,-273.14|231.00,-274.40|234.50,-275.91|238.00,-277.69|241.50,-279.71|245.00,-282.00|248.50,-284.54|252.00,-287.34|255.50,-290.40|259.00,-293.71|262.50,-297.29|266.00,-301.11
154.50,-297.63,277.00,-302.00,17,0.2833;154.50,-297.63|158.00,-293.51|161.50,-289.66|165.00,-286.06|168.50,-282.71|172.00,-279.63|175.50,-276.80|179.00,-274.23|182.50,-271.91|186.00,-269.86|189.50,-268.06|193.00,-266.51|196.50,-265.23|200.00,-264.20|203.50,-263.43|207.00,-262.91|210.50,-262.66|214.00,-262.66|217.50,-262.91|221.00,-263.43|224.50,-264.20|228.00,-265.23|231.50,-266.51|235.00,-268.06|238.50,-269.86|242.00,-271.91|245.50,-274.23|249.00,-276.80|252.50,-279.63|256.00,-282.71|259.50,-286.06|263.00,-289.66|266.50,-293.51|270.00,-297.63|273.50,-302.00
